genes	pvalue	padj
Synj2	0.013742581	0.9998431
Prob1	0.01387204	0.9998431
Gm5803	0.013976121	0.9998431
Uba7	0.01405877	0.9998431
Dclre1a	0.014066282	0.9998431
Cebpb	0.014128897	0.9998431
AA387883	0.014213918	0.9998431
Susd1	0.014235056	0.9998431
Procr	0.014236189	0.9998431
Clec7a	0.01434268	0.9998431
Hspa13	0.014478471	0.9998431
Zfp108	0.014625136	0.9998431
Mroh1	0.014719444	0.9998431
Clrn3	0.014996767	0.9998431
Stx5a	0.01524025	0.9998431
Inhbe	0.015493477	0.9998431
Mllt11	0.015531852	0.9998431
1700018L02Rik	0.015740713	0.9998431
Mboat2	0.015837626	0.9998431
Rgs10	0.016222184	0.9998431
Nr2f1	0.016242044	0.9998431
Ptch1	0.016304964	0.9998431
Ptgdr2	0.016371325	0.9998431
A4galt	0.016978537	0.9998431
Nlrp4f	0.01717319	0.9998431
Ptov1	0.01727703	0.9998431
Lipc	0.01729367	0.9998431
Gas2l2	0.017354362	0.9998431
Srpk2	0.01739948	0.9998431
Nxf2	0.017540602	0.9998431
Unc5a	0.017709437	0.9998431
Gm13315	0.017760917	0.9998431
Chsy3	0.017786205	0.9998431
Itga2b	0.017878884	0.9998431
Gprc5a	0.017939153	0.9998431
Gmppa	0.018006565	0.9998431
Igfbp5	0.018037404	0.9998431
Lgals3	0.018075927	0.9998431
Ccdc81	0.018107558	0.9998431
Cd5l	0.018208601	0.9998431
Ntrk1	0.018277925	0.9998431
Armc2	0.018313912	0.9998431
Dtx3l	0.01843113	0.9998431
Sh3tc1	0.018570689	0.9998431
Zfp719	0.01866592	0.9998431
Havcr2	0.018743336	0.9998431
Plk5	0.018760817	0.9998431
Usp35	0.018836443	0.9998431
Smim4	0.018857374	0.9998431
Unc93a	0.018858882	0.9998431
B3galt2	0.018951679	0.9998431
Ddx3y	0.018974651	0.9998431
Ptger4	0.019043633	0.9998431
Mir16-1	0.019054386	0.9998431
Dnah11	0.019069837	0.9998431
Awat2	0.019089421	0.9998431
Smpx	0.019092233	0.9998431
Rgs7bp	0.019252836	0.9998431
Vmn2r86	0.019453869	0.9998431
Btd	0.019492581	0.9998431
4933428G20Rik	0.019526025	0.9998431
Dlg2	0.019599727	0.9998431
Cacng2	0.019624164	0.9998431
D930048N14Rik	0.019635181	0.9998431
Gbp8	0.01971172	0.9998431
Arhgdib	0.019764329	0.9998431
H1f0	0.019973793	0.9998431
1500012F01Rik	0.020288047	0.9998431
Plch2	0.020351053	0.9998431
4933417G07Rik	0.020378124	0.9998431
1700020L24Rik	0.020498766	0.9998431
Mamdc2	0.020676648	0.9998431
Rfc3	0.020736381	0.9998431
Grpr	0.020773799	0.9998431
Fam205c	0.020871049	0.9998431
1810034E14Rik	0.020890032	0.9998431
Arl2	0.020983719	0.9998431
Galntl6	0.021013844	0.9998431
D630013N20Rik	0.021074961	0.9998431
Tra2a	0.021079966	0.9998431
Ntng2	0.021085433	0.9998431
1700030A11Rik	0.021091581	0.9998431
5830432E09Rik	0.021183672	0.9998431
Pdlim4	0.021189511	0.9998431
Gm2109	0.021254569	0.9998431
Fgf14	0.021349959	0.9998431
Sh3bgrl2	0.021539109	0.9998431
Hpcal1	0.021639039	0.9998431
Mt2	0.021716449	0.9998431
Apobr	0.021723776	0.9998431
Fcgrt	0.02174026	0.9998431
Igf1	0.021770597	0.9998431
Mir342	0.021798391	0.9998431
Nbl1	0.021953389	0.9998431
Thrb	0.021959139	0.9998431
Crygf	0.021983325	0.9998431
Ppm1b	0.022003991	0.9998431
Cdhr3	0.022082156	0.9998431
Acy1	0.022189509	0.9998431
H1foo	0.022207195	0.9998431
Ldhal6b	0.022211951	0.9998431
4833418N02Rik	0.022332323	0.9998431
6430573F11Rik	0.022335716	0.9998431
Dynlrb2	0.02237844	0.9998431
2610203C22Rik	0.022393454	0.9998431
Fam101a	0.022455484	0.9998431
Cep135	0.02246353	0.9998431
Isl1	0.022511957	0.9998431
Cd6	0.022556462	0.9998431
Irs4	0.022618817	0.9998431
Mir154	0.022629427	0.9998431
Tfap2d	0.022633421	0.9998431
Tmem176a	0.022637085	0.9998431
Plxnd1	0.02270326	0.9998431
Car12	0.022750728	0.9998431
Papln	0.022806812	0.9998431
Sv2c	0.022999021	0.9998431
Ces2g	0.023028207	0.9998431
Tmem62	0.023134428	0.9998431
Lypd6	0.023441861	0.9998431
Hist1h2an	0.023519309	0.9998431
Hdc	0.02352921	0.9998431
Irx1	0.023635351	0.9998431
Hmcn1	0.02364148	0.9998431
2610028E06Rik	0.023697337	0.9998431
Borg	0.023725395	0.9998431
Itgb3	0.02373554	0.9998431
Etv6	0.023793038	0.9998431
Snora23	0.023825537	0.9998431
Olfr544	0.023880283	0.9998431
1700013F07Rik	0.024103304	0.9998431
Bpifb9b	0.024117744	0.9998431
Cnpy4	0.024230073	0.9998431
Otop3	0.024258836	0.9998431
Stxbp2	0.024360376	0.9998431
Sec62	0.024402498	0.9998431
Tmem88	0.024581364	0.9998431
Fam129a	0.024614184	0.9998431
Slc6a3	0.024780152	0.9998431
1110001J03Rik	0.024907796	0.9998431
Glt8d1	0.025038636	0.9998431
A330050F15Rik	0.025311997	0.9998431
Rgs14	0.025442651	0.9998431
Mkl2	0.025621976	0.9998431
Nkx2-1	0.02562823	0.9998431
Il1rl2	0.025763431	0.9998431
Prss43	0.025778409	0.9998431
AY074887	0.025835969	0.9998431
Id1	0.025964335	0.9998431
Rnaset2b	0.025966462	0.9998431
Snora30	0.025970697	0.9998431
Gper1	0.026132845	0.9998431
Itgb2l	0.026204593	0.9998431
Kcns3	0.026211121	0.9998431
Gla	0.026215775	0.9998431
Traf3ip3	0.026235027	0.9998431
Ifit3	0.02626131	0.9998431
Slc1a6	0.026273211	0.9998431
Taok3	0.026384551	0.9998431
Elp6	0.026390904	0.9998431
Gal3st4	0.026394432	0.9998431
Commd1	0.026429904	0.9998431
Gm5176	0.026544253	0.9998431
Dnah6	0.026759215	0.9998431
Megf10	0.026892278	0.9998431
Rhno1	0.027012811	0.9998431
Eya4	0.027792068	0.9998431
Fos	0.027854863	0.9998431
Ptprm	0.027960253	0.9998431
Frs3	0.028073352	0.9998431
Cd68	0.028075124	0.9998431
Ext1	0.028274981	0.9998431
Icosl	0.028317634	0.9998431
Pcolce	0.028339048	0.9998431
Hmgn1	0.028415893	0.9998431
2310009A05Rik	0.028505765	0.9998431
Kcnk18	0.028568732	0.9998431
Gm3230	0.028580478	0.9998431
Olfr878	0.028583576	0.9998431
Zfp524	0.028645212	0.9998431
Akap6	0.028674543	0.9998431
Pou5f1	0.028799735	0.9998431
Cdkn2b	0.028816624	0.9998431
Capsl	0.028931793	0.9998431
Steap2	0.028968241	0.9998431
Zfp454	0.029275699	0.9998431
Ptpn22	0.029331496	0.9998431
Scarb1	0.029455639	0.9998431
Nxn	0.029475123	0.9998431
Cyp2b19	0.029571989	0.9998431
Actg2	0.029678162	0.9998431
Pkmyt1	0.029961911	0.9998431
Mir7236	0.030133476	0.9998431
Ctbp2	0.030275287	0.9998431
Slc1a5	0.030288169	0.9998431
Npnt	0.030315386	0.9998431
2900011O08Rik	0.030487447	0.9998431
Gm5878	0.030492197	0.9998431
Dnali1	0.030557692	0.9998431
Gm6936	0.03056506	0.9998431
Rbp4	0.030612648	0.9998431
Suv420h2	0.03061306	0.9998431
Atg4a	0.031251333	0.9998431
Slc36a4	0.031354914	0.9998431
Nmi	0.0313709	0.9998431
Il15ra	0.031378025	0.9998431
Slpi	0.031481006	0.9998431
Mir6769b	0.031507809	0.9998431
Scn5a	0.031532681	0.9998431
Hist1h1d	0.031591268	0.9998431
Tspan2	0.032051589	0.9998431
Lime1	0.032054479	0.9998431
Zyg11a	0.032060722	0.9998431
Lect1	0.032076029	0.9998431
Sln	0.032107207	0.9998431
Tbxa2r	0.032132184	0.9998431
Foxn4	0.032135694	0.9998431
Cdk2ap2	0.032256506	0.9998431
Snord42b	0.032263975	0.9998431
Gm10125	0.032308463	0.9998431
Ergic1	0.032632663	0.9998431
Gm4872	0.032755919	0.9998431
Tgm2	0.032817628	0.9998431
Mkln1os	0.032836097	0.9998431
Abcd4	0.03307594	0.9998431
Slfn2	0.03320273	0.9998431
4930539J05Rik	0.033262352	0.9998431
Cma1	0.033374317	0.9998431
4930599N23Rik	0.033556186	0.9998431
Olfm4	0.033556936	0.9998431
Cartpt	0.033604595	0.9998431
Zfp467	0.03362961	0.9998431
Kcnb1	0.03367572	0.9998431
Adamts20	0.033786183	0.9998431
Ak7	0.033843467	0.9998431
Mir1964	0.033886834	0.9998431
S100a8	0.033894977	0.9998431
Mad2l2	0.033947404	0.9998431
A930003A15Rik	0.034333548	0.9998431
Gm21284	0.034621211	0.9998431
Pisd-ps2	0.034632948	0.9998431
Sdf2l1	0.034778765	0.9998431
Irgc1	0.03492445	0.9998431
Parp2	0.034939023	0.9998431
Syt1	0.035025952	0.9998431
Gabrg3	0.035040972	0.9998431
Pex6	0.035176955	0.9998431
Zbtb48	0.035263204	0.9998431
Icmt	0.035360673	0.9998431
Ly6h	0.035371284	0.9998431
H2-Bl	0.035400487	0.9998431
Col28a1	0.035412646	0.9998431
Pkib	0.035422149	0.9998431
Fahd2a	0.035583058	0.9998431
St6galnac1	0.035603725	0.9998431
Plagl1	0.035696818	0.9998431
Gm38425	0.035817074	0.9998431
Zcchc10	0.035952191	0.9998431
Shisa2	0.036015549	0.9998431
Jchain	0.036071448	0.9998431
Dlk1	0.036075865	0.9998431
Fabp4	0.036169881	0.9998431
Atp10d	0.036216395	0.9998431
Pmf1	0.036328449	0.9998431
Ghdc	0.036420809	0.9998431
Tnfsf12	0.036452508	0.9998431
P2rx4	0.036508079	0.9998431
Pisd	0.036683016	0.9998431
Gm7904	0.036845673	0.9998431
E030025P04Rik	0.036904431	0.9998431
Nod1	0.037068942	0.9998431
Amz1	0.037071816	0.9998431
Lmcd1	0.037078294	0.9998431
Ankrd27	0.037112846	0.9998431
Cystm1	0.037221126	0.9998431
Apba1	0.037614273	0.9998431
D330050G23Rik	0.037649731	0.9998431
Nanp	0.037798899	0.9998431
Mfng	0.037883092	0.9998431
Enkur	0.038279668	0.9998431
Dbpht2	0.038496252	0.9998431
Gm4814	0.038508706	0.9998431
Nhej1	0.038568721	0.9998431
Rfc4	0.038640737	0.9998431
Khdc1c	0.038734591	0.9998431
Ifitm5	0.038939382	0.9998431
Myl12a	0.039032598	0.9998431
Hist1h2bg	0.039036023	0.9998431
Aim1l	0.039270337	0.9998431
Aldh1a7	0.039288235	0.9998431
Mir132	0.039442823	0.9998431
Ybx2	0.03946263	0.9998431
Mfap2	0.039466313	0.9998431
Wnt8b	0.039484889	0.9998431
7530416G11Rik	0.03949612	0.9998431
4921509O07Rik	0.039498878	0.9998431
Mir3064	0.039527391	0.9998431
Ipmk	0.039686563	0.9998431
Ryr2	0.03970682	0.9998431
Tlcd2	0.039879513	0.9998431
1700024B18Rik	0.04006075	0.9998431
Ears2	0.040080484	0.9998431
Krtap5-2	0.04008398	0.9998431
Zfp235	0.040128507	0.9998431
Gm13090	0.040160482	0.9998431
Tmprss7	0.040244677	0.9998431
Eci3	0.040399612	0.9998431
Gc	0.040491603	0.9998431
Adcy7	0.040519462	0.9998431
Krt25	0.040551706	0.9998431
4930506C21Rik	0.040647981	0.9998431
Gm20735	0.040791468	0.9998431
Arid4a	0.040822351	0.9998431
1110038B12Rik	0.040963988	0.9998431
Mgat4e	0.040969962	0.9998431
Prkcb	0.041135244	0.9998431
Ppp1r36	0.041168816	0.9998431
Lmo3	0.041309351	0.9998431
Platr22	0.041328402	0.9998431
Zfp36	0.04140359	0.9998431
Xrcc1	0.041470065	0.9998431
Dnajc4	0.041515026	0.9998431
Rmi1	0.041516208	0.9998431
Esyt3	0.041533065	0.9998431
Wnt11	0.041733997	0.9998431
Rsph4a	0.041734795	0.9998431
Aldh3a1	0.041761766	0.9998431
Nmral1	0.041889324	0.9998431
Urb1	0.041923347	0.9998431
Lrrtm2	0.041939708	0.9998431
Acss2os	0.042206424	0.9998431
Clic1	0.04231071	0.9998431
Ier2	0.042430284	0.9998431
Echs1	0.042572542	0.9998431
Lrrd1	0.042708011	0.9998431
Mina	0.042763674	0.9998431
Ccdc109b	0.042776576	0.9998431
Calb2	0.042817109	0.9998431
Prkcd	0.042826195	0.9998431
Gdap10	0.042846292	0.9998431
Tmem54	0.042902463	0.9998431
1700019G24Rik	0.043091816	0.9998431
Gnat2	0.043223618	0.9998431
4930519F16Rik	0.043308842	0.9998431
Tatdn1	0.043360756	0.9998431
Otx2	0.043363102	0.9998431
2310009B15Rik	0.043545679	0.9998431
Shmt2	0.043639887	0.9998431
Dnah1	0.043700957	0.9998431
Fam179a	0.043804326	0.9998431
AU019990	0.043885349	0.9998431
Wwc1	0.043943095	0.9998431
Mcm7	0.043958238	0.9998431
4930405A21Rik	0.044073894	0.9998431
Mir7682	0.044219155	0.9998431
Lpar6	0.044260492	0.9998431
Tspan32	0.044293242	0.9998431
Catsperd	0.044321295	0.9998431
Insl3	0.044470056	0.9998431
Tex35	0.044671404	0.9998431
Med24	0.044722379	0.9998431
Tmem150c	0.044745853	0.9998431
Tmem236	0.044798327	0.9998431
Pcsk7	0.04500145	0.9998431
Tppp3	0.0450432	0.9998431
Map3k6	0.045133209	0.9998431
Stx1b	0.045181117	0.9998431
Il15	0.045279051	0.9998431
F630111L10Rik	0.045359153	0.9998431
Ndst3	0.045428142	0.9998431
Ptrh1	0.045489205	0.9998431
Ppara	0.045645387	0.9998431
Lacc1	0.045765734	0.9998431
Cenpe	0.046087797	0.9998431
A530032D15Rik	0.046241317	0.9998431
Mtap7d3	0.046372591	0.9998431
Card11	0.046519658	0.9998431
Rpp25l	0.04655259	0.9998431
Polk	0.046787968	0.9998431
Gm14207	0.046899195	0.9998431
Upb1	0.046943976	0.9998431
Gm4349	0.047016932	0.9998431
C4a	0.047025663	0.9998431
Rnh1	0.047058894	0.9998431
4833422C13Rik	0.047113218	0.9998431
Cers5	0.047116239	0.9998431
Akr1b7	0.047265216	0.9998431
Xirp1	0.047308051	0.9998431
Trim37	0.047312402	0.9998431
Cacnb4	0.047397066	0.9998431
Cd300ld	0.047492757	0.9998431
Stag3	0.047735067	0.9998431
Ofcc1	0.047821714	0.9998431
B4galt7	0.047930103	0.9998431
4930483O08Rik	0.048051593	0.9998431
Nmur1	0.048051811	0.9998431
4933427I22Rik	0.048076486	0.9998431
Cox6a2	0.048087138	0.9998431
Omd	0.048102514	0.9998431
Pparg	0.048324883	0.9998431
Rph3a	0.048393902	0.9998431
Selenbp1	0.048484135	0.9998431
Nsun7	0.048502098	0.9998431
Kcng1	0.048597971	0.9998431
Pla2g10	0.048925799	0.9998431
Polrmt	0.049282411	0.9998431
Mpv17	0.049370836	0.9998431
Medag	0.049376387	0.9998431
Ltf	0.049499026	0.9998431
Eif5a2	0.049603915	0.9998431
Galnt7	0.049611734	0.9998431
Tmem196	0.049618938	0.9998431
Hhipl2	0.049629242	0.9998431
E130310I04Rik	0.049935105	0.9998431
Zfp414	0.049952049	0.9998431
Faap20	0.050020283	0.9998431
Pex26	0.050159469	0.9998431
Serpine1	0.050233216	0.9998431
Acpt	0.050271504	0.9998431
Evc	0.050375521	0.9998431
P2ry13	0.050697823	0.9998431
Gm525	0.050789101	0.9998431
Pdgfrl	0.05081911	0.9998431
Hmgn5	0.05086466	0.9998431
Mrpl4	0.050956739	0.9998431
2500004C02Rik	0.051344775	0.9998431
Adrb3	0.051450997	0.9998431
Wdr8	0.05146921	0.9998431
Aurkc	0.051562455	0.9998431
Irf3	0.051739408	0.9998431
2610507I01Rik	0.051950437	0.9998431
Ano2	0.052023154	0.9998431
Irg1	0.052104819	0.9998431
Scgb3a1	0.052106477	0.9998431
AA467197	0.052166915	0.9998431
Plekhg4	0.052217386	0.9998431
Ankrd35	0.052286664	0.9998431
Osr2	0.052291271	0.9998431
Smim11	0.052300688	0.9998431
Ccdc114	0.052331208	0.9998431
Zfp810	0.05233153	0.9998431
Accs	0.052380335	0.9998431
Crip3	0.052442256	0.9998431
Smo	0.052497524	0.9998431
Zfand2b	0.052568271	0.9998431
Casr	0.052661347	0.9998431
Sema6a	0.052669206	0.9998431
Arrb1	0.052671456	0.9998431
Tada2b	0.052701511	0.9998431
Ywhag	0.052720126	0.9998431
Ap4m1	0.052813075	0.9998431
Maats1	0.052875069	0.9998431
Upf2	0.05294025	0.9998431
A530058N18Rik	0.053078182	0.9998431
6430503K07Rik	0.053081226	0.9998431
Dnaaf2	0.053258667	0.9998431
Nrg3	0.053435638	0.9998431
Cd163l1	0.053470766	0.9998431
Cdkl1	0.053481433	0.9998431
P4ha2	0.05350187	0.9998431
Ifi203	0.053582619	0.9998431
D15Ertd621e	0.05375032	0.9998431
Tmem208	0.053755345	0.9998431
Bpifb2	0.053765782	0.9998431
Zfp455	0.053772991	0.9998431
Mir7220	0.053799752	0.9998431
Snhg17	0.053800689	0.9998431
Ppp1r3fos	0.053834798	0.9998431
Ncoa4	0.053892057	0.9998431
Catip	0.054042006	0.9998431
B230209E15Rik	0.054062552	0.9998431
Il18bp	0.054328499	0.9998431
Pcdhb12	0.054390845	0.9998431
Adcy4	0.054489039	0.9998431
Doc2g	0.054540085	0.9998431
Tmem169	0.054572362	0.9998431
Ecel1	0.054609558	0.9998431
1110012L19Rik	0.054615854	0.9998431
Vtn	0.054647569	0.9998431
Fam168a	0.054810949	0.9998431
Ccdc40	0.054856139	0.9998431
Nfs1	0.05486141	0.9998431
Akp3	0.0548915	0.9998431
Asb12	0.055101104	0.9998431
Lpxn	0.055131434	0.9998431
Tcn2	0.055267447	0.9998431
Tnip3	0.05531443	0.9998431
Jpx	0.0553509	0.9998431
4632427E13Rik	0.055391195	0.9998431
Mir3471-1	0.055400278	0.9998431
Arrb2	0.055434524	0.9998431
Serpinb1a	0.055557015	0.9998431
Rap2b	0.055678134	0.9998431
Mthfd1	0.055707654	0.9998431
Ggnbp2os	0.055964311	0.9998431
Etv1	0.055994147	0.9998431
Efr3a	0.056244233	0.9998431
Fgfr1	0.056287504	0.9998431
Trhde	0.056319737	0.9998431
Dhx38	0.056331193	0.9998431
Pcsk2	0.056405146	0.9998431
Ermap	0.056405434	0.9998431
Pdcd7	0.056481544	0.9998431
Opcml	0.056497064	0.9998431
Madcam1	0.056576017	0.9998431
Plekhh3	0.056648012	0.9998431
Mtf2	0.056671961	0.9998431
6820431F20Rik	0.056738319	0.9998431
Ifitm3	0.056929742	0.9998431
Dennd6a	0.056962541	0.9998431
Trpc6	0.057107004	0.9998431
Rhebl1	0.057113751	0.9998431
Aspdh	0.0571184	0.9998431
1700073E17Rik	0.05742955	0.9998431
Grid2	0.057515276	0.9998431
Lrrc16b	0.057516657	0.9998431
Uchl4	0.057673209	0.9998431
Itga2	0.05767615	0.9998431
Gstm6	0.05773615	0.9998431
Mroh5	0.057770021	0.9998431
Cfi	0.057827116	0.9998431
Cnga3	0.057938343	0.9998431
Rsph1	0.058170382	0.9998431
Tk1	0.058174325	0.9998431
1700003F12Rik	0.058263244	0.9998431
Slc17a8	0.058534243	0.9998431
Rasgrp1	0.058577861	0.9998431
Gp5	0.058647783	0.9998431
Isoc2a	0.058654257	0.9998431
B130024G19Rik	0.058666644	0.9998431
Uty	0.058687936	0.9998431
Clock	0.058827924	0.9998431
Dbhos	0.058927603	0.9998431
Pfkl	0.059188478	0.9998431
Gm12250	0.059234855	0.9998431
Kir3dl2	0.059304805	0.9998431
Eps15	0.059400858	0.9998431
Mfsd10	0.059444295	0.9998431
1700010I14Rik	0.059519254	0.9998431
Kptn	0.059610259	0.9998431
Sgtb	0.059637627	0.9998431
Med9os	0.05974686	0.9998431
Pcdhga1	0.059786785	0.9998431
Pdlim7	0.059901195	0.9998431
Olfr539	0.059905891	0.9998431
Pagr1a	0.059998976	0.9998431
P2ry12	0.060040178	0.9998431
Fam166a	0.060043353	0.9998431
Hsf1	0.060188052	0.9998431
Pilra	0.060319813	0.9998431
Alg3	0.060468601	0.9998431
Ptpn2	0.0606389	0.9998431
Olfr691	0.060639521	0.9998431
C330021F23Rik	0.060685522	0.9998431
Zfp362	0.060715228	0.9998431
Stk33	0.060832891	0.9998431
Camk1g	0.060896761	0.9998431
Msrb3	0.060959669	0.9998431
Mir483	0.061029411	0.9998431
Toporsl	0.061061159	0.9998431
Ankrd23	0.061244505	0.9998431
Cdc27	0.061300714	0.9998431
Ppm1k	0.061369371	0.9998431
Slc4a2	0.061458895	0.9998431
Tll2	0.061522895	0.9998431
Snord83b	0.061599197	0.9998431
1700020G17Rik	0.0616369	0.9998431
1110065P20Rik	0.061683708	0.9998431
Ddi2	0.061787273	0.9998431
Nampt	0.061800867	0.9998431
Sulf2	0.061902316	0.9998431
Mospd2	0.061927406	0.9998431
Htra3	0.061964627	0.9998431
D730005E14Rik	0.06205894	0.9998431
Slc39a5	0.062184217	0.9998431
Prss8	0.062238004	0.9998431
Trim26	0.062293914	0.9998431
Fundc2	0.062350096	0.9998431
Fam214b	0.062362885	0.9998431
Hap1	0.06247838	0.9998431
Zfp654	0.062775597	0.9998431
Bnipl	0.062847116	0.9998431
Ptchd1	0.062929854	0.9998431
E130309D02Rik	0.062968193	0.9998431
Armc5	0.063215852	0.9998431
